,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
cassandra-0.8.6,0.13,0.216,0.276,0.311,0.351,0.384,0.4,0.422,0.435,0.459,0.476,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486
cassandra-1.0.9,0.115,0.194,0.234,0.262,0.302,0.325,0.357,0.373,0.389,0.405,0.421,0.44,0.44,0.444,0.444,0.444,0.444,0.444,0.444,0.444
cassandra-1.1.6,0.19,0.247,0.316,0.332,0.368,0.405,0.437,0.453,0.486,0.502,0.526,0.534,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
cassandra-1.1.11,0.164,0.23,0.283,0.316,0.362,0.408,0.447,0.454,0.48,0.5,0.507,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526
cassandra-1.2.11,0.167,0.268,0.37,0.37,0.399,0.42,0.457,0.486,0.514,0.529,0.551,0.558,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565
flink-1.6.0,0.449,0.603,0.667,0.679,0.731,0.769,0.769,0.769,0.769,0.795,0.795,0.795,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808
groovy-1.5.5,0.305,0.441,0.542,0.542,0.627,0.627,0.661,0.661,0.695,0.729,0.729,0.763,0.78,0.797,0.814,0.814,0.814,0.814,0.814,0.814
groovy-1.6.0,0.268,0.346,0.386,0.425,0.472,0.504,0.543,0.575,0.598,0.622,0.638,0.638,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
groovy-1.7.3,0.252,0.315,0.378,0.414,0.477,0.532,0.541,0.568,0.604,0.631,0.631,0.649,0.658,0.667,0.667,0.667,0.667,0.667,0.667,0.667
groovy-1.7.6,0.241,0.296,0.296,0.333,0.389,0.463,0.5,0.519,0.519,0.537,0.574,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611
groovy-1.8.1,0.321,0.389,0.42,0.458,0.504,0.557,0.565,0.595,0.611,0.618,0.634,0.641,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656
groovy-1.8.7,0.361,0.472,0.5,0.528,0.556,0.556,0.611,0.639,0.639,0.667,0.667,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
groovy-2.1.0,0.314,0.438,0.504,0.584,0.664,0.715,0.752,0.766,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774
groovy-2.1.6,0.393,0.554,0.625,0.661,0.714,0.732,0.768,0.768,0.768,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786
groovy-2.4.4,0.308,0.408,0.483,0.521,0.545,0.564,0.592,0.621,0.64,0.659,0.664,0.682,0.692,0.701,0.706,0.706,0.706,0.706,0.706,0.706
groovy-2.4.6,0.335,0.427,0.494,0.543,0.579,0.591,0.622,0.652,0.671,0.677,0.677,0.701,0.713,0.72,0.726,0.726,0.726,0.726,0.726,0.726
groovy-2.4.8,0.308,0.407,0.462,0.527,0.571,0.571,0.571,0.582,0.615,0.626,0.626,0.637,0.637,0.67,0.67,0.67,0.67,0.67,0.67,0.67
groovy-2.5.0,0.386,0.483,0.538,0.552,0.572,0.6,0.6,0.614,0.628,0.641,0.655,0.655,0.655,0.662,0.662,0.662,0.662,0.662,0.662,0.662
groovy-2.5.5,0.429,0.533,0.571,0.581,0.619,0.638,0.648,0.648,0.648,0.657,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676
hbase-0.94.5,0.212,0.299,0.32,0.382,0.411,0.444,0.465,0.473,0.49,0.502,0.502,0.519,0.535,0.539,0.548,0.548,0.548,0.548,0.548,0.548
