,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
storm-1.0.3,0.0050450942647265,0.01028652891539,0.0154895491427181,0.0207779347552361,0.0260791251755325,0.031294950210639,0.0365961406309355,0.0419272089360485,0.0472070580100475,0.0526021503540529
storm-1.0.5,0.0021711144062575,0.0044484477169308,0.0067342785399574,0.0090031143382774,0.0112677013804208,0.0135450346910941,0.0158521092950038,0.0181719301674434,0.0204620097466466,0.0227818306190862
tika-0.8,0.0253745851908959,0.0518888479200884,0.0776656722421479,0.1033754567090135,0.1290182013206851,0.1549626252807294,0.1815104079375188,0.2086950692186505,0.2360808500653638,0.2648409479435524
tika-0.9,0.0230581039755351,0.0469724770642201,0.0694189602446483,0.0923241590214067,0.1150152905198776,0.1384097859327217,0.1626605504587156,0.1874006116207951,0.2124159021406728,0.2390214067278287
tika-0.10,0.0275528540053685,0.0559487099851365,0.0836568538278944,0.1122301839075359,0.1403154602125252,0.1684007365175144,0.1969518823346717,0.2259245291390287,0.2549415444683541,0.2852008784967944
tika-1.1,0.0262884603636807,0.0531878067156732,0.0795780814107393,0.1063348876987924,0.1331527825856767,0.1601743061353316,0.1872365554175405,0.2149911421531694,0.2427253660225213,0.2713759188743407
tika-1.3,0.0215690420807781,0.0433319235920208,0.0650595615704518,0.0866462254176358,0.1085677028265313,0.130718263198703,0.1527983365052513,0.1753894410375696,0.1981567632339465,0.2218051737506167
tika-1.5,0.023619811241961,0.0477741585233441,0.0720287313121189,0.0959325148250229,0.1202706088699574,0.1446755199198195,0.168746345945043,0.1935354547732398,0.2184916061137559,0.2441493360060135
tika-1.7,0.0230052117742053,0.0467297951992953,0.0701460764882918,0.094046832562578,0.117624605446671,0.1416134478455553,0.1654701607575424,0.1897085810761212,0.2138735961242017,0.2385230859575717
tika-1.10,0.0227944771705976,0.0460662646394561,0.0693264103937227,0.0927146150084984,0.116486996204801,0.1401778853989615,0.1637756408763882,0.1868145940534122,0.2105520501059396,0.2345921907378518
tika-1.13,0.0165952195375422,0.0335801506884905,0.0504351779683034,0.0673659825062786,0.084740625270633,0.1020394907768251,0.1194357841863687,0.1360634796916948,0.1535355503594007,0.171050922317485
tika-1.15,0.0163900575587848,0.0330726410792487,0.049703602371181,0.0665066377582186,0.083137599050151,0.0998632010943912,0.1167178587099605,0.1334606681637113,0.1503755517125674,0.1677206204991869
tika-1.17,0.0109229104271008,0.0221226688143356,0.0331462512269398,0.0441614443074186,0.055377981358904,0.0664854570927608,0.0777103834763714,0.0886584618998481,0.1000427855938388,0.1116703999194624
ww-2.0.5,0.0138340790728379,0.0283723318418543,0.0427932223281742,0.0576542213746057,0.0723538472823296,0.0873028680407834,0.102530624220641,0.1181544781045991,0.1333822342844568,0.1491087801657742
ww-2.0.10,0.0154705508025171,0.0315916000848476,0.0473308350420702,0.0633811779678993,0.0794739447076292,0.0961606448419712,0.1131443116736194,0.1305804991868769,0.1478752739871314,0.165806405995899
ww-2.1.1,0.01896865520728,0.039231547017189,0.0595214020896528,0.0802022244691607,0.1008291203235591,0.1216582406471183,0.1427300303336703,0.1641927873272666,0.1856016177957533,0.2075901584091675
ww-2.1.3,0.0162864484684706,0.03364659613227,0.0508619753652386,0.0685840441061152,0.0862457926674789,0.1038713491211349,0.1216537380415244,0.1399066243621141,0.1579061659287498,0.1765571654341243
ww-2.1.7,0.0139755657460722,0.0288820696709535,0.0437081221482835,0.05899389718305,0.0739923456194186,0.0892321483984415,0.1044029927938489,0.1200565458745647,0.1354802376765622,0.1514096242917399
ww-2.2.0,0.0195492453815489,0.0397706414903132,0.060028230330543,0.0804150789260065,0.1008484610333541,0.1212715023602831,0.1416635213459559,0.1624278084267019,0.1828560201438402,0.203780589321076
ww-2.2.2,0.0102449478545964,0.021016720286838,0.0317526891070067,0.0426318723754673,0.0535468592560009,0.064523223757231,0.0754177514308657,0.0865475599838372,0.0976057613126627,0.1089913099518697
ww-2.3.1,0.0100904273173907,0.0206538434152841,0.0312477749183712,0.0419027372318458,0.0526492457609016,0.0633245516778387,0.0741117474138194,0.0850718637792312,0.0959150044247337,0.1071294158334265
ww-2.3.4,0.0103817748900278,0.0212528754187013,0.0321088421647362,0.043035433229751,0.0540175148311069,0.0649995964324629,0.0761985955849711,0.0874934420275233,0.0986571290205415,0.1101184470721175
ww-2.3.10,0.0092997811816192,0.0190211390600847,0.0287525344789512,0.0385491739104249,0.0483608696525003,0.05830305341979,0.0682402184168791,0.0783379840603858,0.0883654869210848,0.0985937405898058
ww-2.3.15,0.0087067149047827,0.0178109967001948,0.0268755218065439,0.0360344690494175,0.0452033554645569,0.054416968154892,0.0636603983620244,0.073042976980877,0.0823609509800023,0.0918876475967081
ww-2.3.17,0.007853248858111,0.0160502922253327,0.0242473355925543,0.0325229605618584,0.0407003585285595,0.0489121359461716,0.0572466971170374,0.0655959923382938,0.0738667059574677,0.0822847600805461
ww-2.3.20,0.0058419177068525,0.0119759312990477,0.01812454968551,0.0243510603080637,0.0304948104297704,0.0367018479933012,0.0429624364691449,0.0492765758573014,0.0555079547446108,0.0619097228983701
ww-2.3.24,0.0044205964896973,0.0090787030978105,0.0137610454322926,0.0184967063647864,0.0232178258614588,0.0279631810845002,0.0327279248886368,0.037570223017154,0.0423592025476595,0.0472742078552836
zookeeper-3.5.1,0.0207144532166028,0.0418197451731415,0.0629563042288751,0.0844524349253498,0.1058078636754475,0.1274603298678965,0.1491753302587352,0.1711404674431329,0.1929492691315563,0.2151801766591104
zookeeper-3.5.2,0.022123352597621,0.0446289331254013,0.0670886463015625,0.0897929853530257,0.1130324435067119,0.1365471057701128,0.1598477203926245,0.1835458520625019,0.2071369599119346,0.2312326086291777
zookeeper-3.5.3,0.0230246176084487,0.0468457306370488,0.0707848429871528,0.0946649556765048,0.1186925675177367,0.1426906795285927,0.1667182913698246,0.1907606531262445,0.2149357641193563,0.2393468737554759
